time,set_alt,alt,airspeed,groundspeed,gcs_speed,set_speed,commanded_speed
276,313.881156842,324.56,17.1189308167,17.4615135193,16.75544108,12.2794800097,15.0
277,312.202558517,322.93,17.1402816772,17.4619350433,16.75544108,12.2704711308,15.0
278,310.496505102,321.509,17.1923046112,17.4435119629,16.75544108,12.2900788954,15.0
279,308.691511552,320.33,16.9791908264,17.2521133423,16.75544108,12.2984574892,15.0
280,307.023181518,319.08,16.9956150055,17.0705738068,16.75544108,12.3176926819,15.0
281,305.347694953,317.44,16.5886535645,16.9400119781,16.75544108,11.9461942676,15.0
282,303.55148832,316.07,16.597738266,16.8902950287,16.75544108,11.9934312819,15.0
283,301.797784964,314.449,16.7640743256,16.8813056946,16.75544108,12.0645307823,15.0
284,300.129648447,312.38,16.5939788818,17.0212955475,16.75544108,11.6638967097,15.0
285,303.090733687,311.02,16.7275485992,17.0300102234,16.75544108,11.7179968601,15.0
286,307.05020984,309.889,16.8362007141,16.9004993439,12.99999988,10.0661588256,15.0
287,310.408356984,308.59,17.3967285156,18.006893158,12.99999988,10.6589768345,15.0
288,313.815893332,309.57,18.8417472839,19.2319774628,12.99999988,10.5609620974,15.0
289,317.17026631,312.389,19.0788612366,19.1432952881,12.99999988,10.1786493662,15.0
290,320.744009813,316.19,18.1578140259,18.0756206512,12.99999988,10.0013800019,15.0
291,324.080077012,320.1,17.2985515594,17.0696105957,12.99999988,10.0618301459,15.0
292,327.415859699,324.55,16.6448326111,16.5101184845,12.99999988,10.0212198912,15.0
293,331.11691316,327.91,16.3006744385,16.2996921539,12.99999988,11.102490244,15.0
294,334.453856945,331.08,16.0675983429,16.1806049347,12.99999988,11.2248490965,15.0
295,337.796443303,334.03,16.0537281036,16.1299381256,12.99999988,11.3132698407,15.0
296,341.135543187,336.8,16.0223846436,16.067855835,12.99999988,11.3774026702,15.0
297,344.479570389,339.43,15.8512992859,16.036359787,12.99999988,11.4093151181,15.0
298,347.82409668,341.889,16.094625473,16.0029621124,12.99999988,11.4340076818,15.0
299,351.16111358,344.18,15.7680597305,15.986084938,12.99999988,11.4703030642,15.0
300,354.527069728,346.949,15.8047847748,15.9207277298,12.99999988,11.3595451873,15.0
301,357.860806783,349.02,15.6617612839,15.8791246414,18.58686172,19.6482097598,15.0
302,361.194753647,351.009,16.1448402405,16.0252914429,18.58686172,20.0988931151,20.09
303,364.534316858,351.5,17.2142105103,17.7255802155,18.58686172,22.0225871087,20.46
304,367.877883116,352.0,19.2574768066,19.6707420349,18.58686172,24.5303075991,22.32
305,371.234753132,353.259,20.4578418732,20.9606590271,18.58686172,26.194534941,23.89
306,374.569570223,355.68,21.7199192047,21.9331016541,18.58686172,25.7198396968,24.43
307,377.903076808,358.35,21.9713821411,22.188085556,18.58686172,25.3441730423,24.21
308,381.24903361,361.509,22.2722244263,22.340429306,18.58686172,25.0744159419,23.26
309,384.593153,364.53,22.2257976532,22.3955211639,18.58686172,24.8940044617,23.12
310,387.933197021,366.93,22.3000164032,22.6156253815,18.58686172,24.7667139462,23.01
311,391.27796332,369.78,22.256526947,22.5487632751,18.58686172,24.6768865587,22.92
312,394.616072973,372.84,22.2003231049,22.5849933624,18.58686172,24.5687312606,22.86
313,397.970996698,376.669,22.3684082031,22.4282531738,18.58686172,24.4687024227,22.77
314,401.305507024,380.91,22.1843929291,21.98777771,18.58686172,24.3592620353,22.7
315,404.640303453,384.77,22.2179222107,22.1104354858,18.58686172,24.2217655806,22.6
316,407.982013226,389.81,22.167257309,22.1868648529,18.58686172,23.4399714903,22.47
317,411.320450306,393.91,22.1205673218,22.0293998718,18.58686172,23.2640826739,21.87
318,414.683240255,398.009,21.7876434326,22.0040092468,18.58686172,23.0912092963,21.75
319,418.044439952,404.25,21.4360084534,20.9114246368,18.58686172,23.0116902746,21.64
